Date,Open,High,Low,Close,Volume
1896-12-31,29.39,32.52,20.76,29.3,0
1897-12-31,29.24,40.43,27.88,35.79,0
1898-12-31,35.71,44.16,30.42,43.83,0
1899-12-31,43.75,56.21,42.2,47.6,0
1900-12-31,49.34,51.45,38.36,51.21,0
1901-12-31,51.02,56.68,44.56,46.76,0
1902-12-31,46.58,49.57,43.14,46.56,0
1903-12-31,46.79,49.03,30.53,35.57,0
1904-12-31,34.6,53.04,33.65,50.73,0
1905-12-31,50.98,69.93,49.8,69.93,0
1906-12-31,68.8,74.6,61.69,68.33,0
1907-12-31,68.26,69.8,38.39,42.55,0
1908-12-31,43.17,64.01,42.46,62.39,0
1909-12-31,61.75,72.81,57.87,71.74,0
1910-12-31,71.22,71.22,53.32,58.96,0
1911-12-31,59.47,63.05,52.83,59.08,0
1912-12-31,59.65,68.19,58.08,63.64,0
1913-12-31,64.04,64.15,52.23,57.06,0
1914-12-31,56.92,60.42,51.73,54.58,0
1915-12-31,55.44,99.21,54.22,99.15,0
1916-12-31,98.81,110.15,86.4,95,0
1917-12-31,96.15,99.18,65.95,74.38,0
1918-12-31,76.68,89.07,73.38,82.2,0
1919-12-31,82.6,119.62,79.35,107.23,0
1920-12-31,108.76,108.85,66.75,71.95,0
1921-12-31,72.67,81.5,63.9,80.8,0
1922-12-31,78.91,102.76,78.59,98.17,0
1923-12-31,98.77,105.38,85.91,95.52,0
1924-12-31,95.65,120.51,88.33,120.51,0
1925-12-31,121.25,159.39,115,156.66,0
1926-12-31,158.75,166.14,135.2,157.2,0
1927-12-31,155.16,200.93,152.73,200.7,0
1928-12-31,203.35,301.6,191.33,300,0
1929-12-31,300.3,386.1,195.4,248.5,0
1930-12-31,248.5,297.3,154.5,164.6,91995596
1931-12-31,164.6,197,71.8,77.9,70845913
1932-12-31,77.9,89.9,40.6,59.9,52306860
1933-12-31,59.9,110.5,49.7,99.9,79983797
1934-12-31,99.9,111.9,84.6,104,39873596
1935-12-31,104,149.4,96,144.1,46931130
1936-12-31,144.1,186.4,141.5,179.9,60676636
1937-12-31,179.9,195.6,112.5,120.9,50625088
1938-12-31,120.9,158.9,97.5,154.8,36312257
1939-12-31,154.8,157.8,120,150.2,31889380
1940-12-31,150.5,153.3,110.4,131.1,25604057
1941-12-31,131.1,134.3,105.5,111,21152364
1942-12-31,111,120.2,92.7,119.4,15642726
1943-12-31,119.5,146.4,118.8,135.9,34392990
1944-12-31,135.9,153,134.1,152.3,32311609
1945-12-31,152.3,196.6,150.5,192.9,46052111
1946-12-31,192.7,213.4,160.5,177.2,43527242
1947-12-31,177.2,187.7,161.4,181.2,30636573
1948-12-31,181.2,194.5,164.1,177.3,37043771
1949-12-31,177,200.9,160.6,200.1,33035800
1950-12-31,200.1,236.6,193.9,235.4,65091141
1951-12-31,235.4,277.5,234.9,269.2,55118541
1952-12-31,269.2,293.5,254.7,291.9,40006687
1953-12-31,291.9,295.1,254.4,280.9,40003818
1954-12-31,280.9,407.2,278.9,404.4,64741878
1955-12-31,404.4,490.8,385.7,488.4,73394946
1956-12-31,488.4,524.4,458.2,499.5,62687645
1957-12-31,499.5,523.1,416.2,435.7,63013593
1958-12-31,435.7,587.4,434,583.7,84209836
1959-12-31,583.7,683.9,571.7,679.4,92486903
1960-12-31,679.4,688.2,564.2,615.9,86440668
1961-12-31,615.9,741.3,606.1,731.1,114796297
1962-12-31,731.1,734.4,524.6,652.1,108814346
1963-12-31,652.1,773.1,643.6,763,129403817
1964-12-31,763,897,760.3,874.1,139412098
1965-12-31,874.1,976.6,832.7,969.3,175416609
1966-12-31,969.3,1001.1,735.7,785.7,213980131
1967-12-31,785.7,951.6,776.2,905.1,285205319
1968-12-31,905.1,994.7,817.6,943.8,330530132
1969-12-31,943.8,974.9,764.5,800.4,321088026
1970-12-31,800.4,848.2,627.5,838.9,332338034
1971-12-31,838.9,958.1,790.7,890.2,439256449
1972-12-31,890.2,1042.4,882.8,1020,466620740
1973-12-31,1022.9,1067.2,783.6,850.9,457644421
1974-12-31,850.9,904,570,616.2,396721867
1975-12-31,619.1,888.9,619.1,852.4,529762843
1976-12-31,852.4,1026.3,848.6,1004.7,604410968
1977-12-31,1004.7,1007.8,792.8,831.2,595229382
1978-12-31,830.5,917.2,736.8,805,812039151
1979-12-31,805,904.9,792.2,838.7,923757806
1980-12-31,838.7,1009.4,730,964,1280146301
1981-12-31,964,1031,807.5,875,1337012093
1982-12-31,875,1078.5,770,1046.5,1855982777
1983-12-31,1046.5,1297,1013.4,1258.6,2434210206
1984-12-31,1258.6,1295.4,1079,1211.6,2602965854
1985-12-31,1211.6,1570.9,1178.7,1546.7,2868467927
1986-12-31,1546.7,1971.7,1491.7,1896,4219851460
1987-12-31,1897.4,2746.7,1616.2,1938.8,6051833083
1988-12-31,1950.8,2195.1,1846,2168.6,4674130972
1989-12-31,2168.4,2809.1,2127.1,2753.2,5083095061
1990-12-31,2753.2,3024.3,2344.3,2633.7,5051270465
1991-12-31,2633.7,3204.6,2447,3168.8,5203678104
1992-12-31,3168.8,3435.3,3087.4,3301.1,5440122479
1993-12-31,3301.1,3818.9,3219.3,3754.1,6501858610
1994-12-31,3754.1,4002.8,3520.8,3834.4,6910665441
1995-12-31,3834.4,5266.7,3794.4,5117.1,7654916709
1996-12-31,5117.1,6624,5000.1,6448.3,8993433199
1997-12-31,6448.3,8340.1,6315.8,7908.3,13394802302
1998-12-31,7908.3,9458,7379.7,9181.4,17063458901
1999-12-31,9212.8,11568.8,8994.3,11497.1,24893695253
2000-12-31,11501.8,11750.3,9651.68,10786.8,51609193302
2001-12-31,10790.9,11350,8062.34,10021.5,59742331167
2002-12-31,10021.7,10673.1,7197.49,8341.63,66317812477
2003-12-31,8342.38,10462.4,7416.64,10453.9,56051875981
2004-12-31,10452.7,10868.1,9708.4,10783,55496359490
2005-12-31,10783.8,10984.5,10000.5,10717.5,63577480621
2006-12-31,10718.3,12529.9,10661.2,12463.2,68379617660
2007-12-31,12459.5,14198.1,11939.6,13264.8,61485755093
2008-12-31,13261.8,13279.5,7449.38,8776.39,70008911908
2009-12-31,8772.25,10580.3,6469.95,10428,70573808160
2010-12-31,10430.7,11625,9614.32,11577.51,50853512954
2011-12-31,11577.43,12876,10404.49,12217.56,45464020186
2012-12-31,12221.19,13661.87,12035.09,13104.14,32815260772
2013-12-31,13104.3,16588.25,13104.3,16576.66,29847774043
2014-12-31,16572.17,18103.45,15340.69,17823.07,23406906447
2015-12-31,17823.07,18351.36,15370.33,17425.03,27568444106
2016-12-31,17405.48,19987.63,15450.56,19762.6,29536656031
2017-12-31,19872.86,24876.07,19677.94,24719.22,78121469023
2018-12-31,24809.35,26951.81,21712.53,23327.46,90202795741
2019-12-31,23058.61,28701.66,22638.41,28538.44,71206711673
2020-12-31,28638.97,30637.47,18213.65,30606.48,112090126902
2021-12-31,30627.47,36679.44,29856.3,36338.3,100009142923
2022-12-31,36321.59,36952.65,28660.94,33147.61,99918421208.74
2023-12-31,33148.9,37778.85,31429.82,37689.54,79095805159
2024-12-31,37566.22,45073.63,37122.95,42544.22,88182357858
2025-12-31,42660.09,48886.86,36611.78,48063.29,103488361097
2026-12-31,48105.98,49633.35,47853.04,48892.47,10227198609
